,Season,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID,botCmd FA,botCmd SI,botCmd FC,botCmd FS,botCmd SL,botCmd CU,botCmd CH,botCmd KC,botOvr,botStf,botCmd,botxRV100,botERA,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,G_steamer,GS_steamer,IP_steamer,K/9_steamer,BB/9_steamer,HR/9_steamer,BABIP_steamer,LOB%_steamer,GB%_steamer,ERA_steamer,FIP_steamer,WAR_steamer,G_zips,GS_zips,IP_zips,K/9_zips,BB/9_zips,HR/9_zips,BABIP_zips,LOB%_zips,GB%_zips,ERA_zips,FIP_zips,WAR_zips
2184,2024,Luis Garcia,HOU,27.0,78.7993006993007,,107.1061224489796,,86.87241379310345,99.44857142857144,53.46666666666667,,,92.00215053763442,100.83655913978497,96.51096774193546,Luis Garcia,23735,677651,51.77387622377622,,33.0063756632653,,42.69324517241378,47.73130457142857,48.1198962962963,,42.90280564102564,44.871929252136745,38.82304198717949,0.5666589743589743,5.180352542735043,40.768140279720285,,48.85944602040817,,49.23308534482759,40.67898,46.50296666666667,,94.31398601398602,,105.27142857142856,,103.07586206896552,93.72285714285717,105.94444444444444,,,0.1754,0.1754,1.0,4.0698,6.4386,1.758,0.297685,0.66218,0.409996,7.13925,7.18947,-0.000139139,22.0,21.0,115.3,9.36687,3.12229,1.24892,0.282895,0.744147,,3.8248,4.0703,1.95607
2185,2023,Justin Bruihl,LAD,23.2,,75.79056603773584,101.93909090909092,,97.28235294117648,,,,,96.92147058823532,100.71352941176474,98.77147058823527,Justin Bruihl,23779,677865,,66.40052811320756,44.168485454545454,,41.728858676470594,,,,59.56680724340175,59.8609730791789,50.67588184750734,-0.475304633431085,3.253365483870967,,56.34072849056603,57.69196313636362,,56.28899514705882,,,,,112.14905660377362,96.01136363636364,,106.26911764705883,,,,,,,,,,,,,,,,,46.0,1.0,54.0,6.83,3.33,1.17,0.278,72.30%,,4.17,4.61,-0.1
2186,2024,Justin Bruihl,- - -,28.0,,91.57637773276524,96.71742531335406,,102.08719136781971,,,,,96.80281898819273,95.05701679383334,93.84542493685176,Justin Bruihl,23779,677865,,44.450012521477966,37.852099423711245,,39.97014821834339,,,,49.27421801978522,51.54671734109991,40.33779198464041,0.1715801094695737,4.587732538366417,,45.95587797932527,44.88413356611064,,56.16404379625516,,,,,97.0255151218831,90.4729902930921,,98.23529038400508,,,,,8.0,0.0,8.0,7.02506,3.98295,1.412,0.300719,0.712317,0.440476,4.96009,5.22612,-0.0271094,49.0,1.0,53.0,7.4717,3.39623,1.35849,0.292208,0.679612,,4.92453,4.91542,0.00580574
2187,2024,Slade Cecconi,ARI,27.0,90.42408163265308,,,,111.07699115044248,87.24146341463415,102.31666666666668,,,96.31973024902987,99.04358587951626,98.81941189767548,Slade Cecconi,27500,677944,63.23803673469388,,,,39.4245821238938,44.39143512195122,20.0,,46.741307344497606,38.401517775119615,53.32417497607656,0.3286421770334928,4.823325263157894,42.55341375510204,,,,40.88599716814159,43.38646292682927,51.42606666666668,,102.65346938775512,,,,97.93097345132742,93.69268292682926,78.16666666666667,,,22.62,1.62,30.045,7.83442,2.23827,1.298,0.295472,0.707865,0.387707,4.29202,4.28836,0.206797,26.0,23.0,126.7,7.17443,2.34412,1.13654,0.292105,0.704942,,4.11997,4.29687,1.66105
2188,2025,Slade Cecconi,ARI,37.0,90.91078431372549,,,,115.10530303030303,108.0695652173913,98.48358208955224,,,99.0820312981807,103.04067298797408,102.69946037619488,Slade Cecconi,27500,677944,56.89232866013072,,,,43.734193409090906,41.04804695652174,40.55428388059701,,61.27569713768115,38.381922264492765,53.72527115942029,-0.6088069927536232,3.0428095108695654,42.61075558823529,,,,42.49276962121212,39.25168630434784,45.682619552238805,,105.75359477124184,,,,101.3060606060606,100.96739130434784,95.39402985074628,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,2022,Ryan Weathers,SDP,94.2,78.31040974529347,71.09285714285713,,,99.8482546201232,,60.396899224806205,,,83.66659685505103,99.6873012072369,95.37991038921965,Ryan Weathers,23796,677960,56.34704697674418,40.94548673469388,,,49.04320145790554,,39.50299097919217,,45.78838949907235,41.7493157328386,53.97441558441559,0.4469461038961039,4.934442337662337,45.36214089700997,47.85656887755103,,,41.06908714579056,,30.01502508363933,,101.9519379844961,91.9,,,99.42792607802876,,92.9968992248062,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,2024,Ryan Weathers,- - -,57.2,90.92030456852792,,,,104.6966023946509,,66.7596837944664,,,88.07202809626828,97.97105999109124,93.64229062079016,Ryan Weathers,23796,677960,51.17701133671743,,,,47.35713678899083,,50.22505011857707,,47.37094098788443,49.36908503261883,50.58451089468779,0.2896002702702702,4.764763802423111,55.04325341793571,,,,48.670708715596334,,39.4665304743083,,99.13553299492384,,,,98.53582646555743,,96.6802371541502,,,55.86,4.86,76.5075,8.08346,3.46273,1.235,0.297009,0.734289,0.412174,4.23241,4.50472,0.404602,28.0,23.0,117.3,7.21228,3.60614,1.1509,0.305785,0.697368,,4.75703,4.61906,1.22575
2191,2025,Ryan Weathers,MIA,68.2,97.56422222222224,83.34306569343066,,,126.16059602649008,,80.6736301369863,,,94.4548214285714,96.31339285714286,97.77214285714288,Ryan Weathers,23796,677960,56.8593838888889,53.10130883211679,,,28.265308215767632,,50.71873434931506,,50.51333108734403,57.154061363636366,49.20778040998218,0.0200048128342245,3.986024768270946,61.13634511111112,51.02137671532847,,,54.89089132780083,,49.41769924657535,,99.37177777777778,96.53284671532846,,,88.1817880794702,,103.2681506849315,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,2021,Randy Dobnak,MIN,46.2,55.73529411764706,68.09756097560974,,,103.21401515151516,,90.6622950819672,,,83.80916442048517,100.5752021563342,95.111051212938,Randy Dobnak,23798,677976,51.11005294117647,38.94798585365854,,,49.20904712121212,,61.41909122950819,,47.99566991978609,40.28111832887701,47.31605909090909,0.2629246524064171,4.839823890374332,22.10582705882353,41.57482975609756,,,42.55581481060607,,40.65940745901638,,94.74411764705884,98.27439024390245,,,100.47386363636365,,108.57704918032788,,,,,,,,,,,,,,,,,,,,,,,,,,
2193,2022,Randy Dobnak,MIN,50.2,90.38333333333333,75.89821826280624,,,75.81102362204724,,68.83749999999999,,,75.47094071869992,97.13044937819484,94.57518679585972,Randy Dobnak,23798,677976,31.629175000000004,54.0305131403118,,,29.04939570866141,,35.37030696428572,,47.30395469281045,41.51843081045752,44.407274418300645,0.3496265359477125,4.78846231372549,20.0,43.51129231625836,,,40.20904488188977,,45.82931446428572,,115.76666666666664,101.08775055679288,,,89.9228346456693,,95.68928571428572,,,,,,,,,,,,,,,,,,,,,,,,,,
